indx,low_human_imp,ag_dens_fz,rd_dens_fz
0.0,0.08271858215333339,0.98414380830816,0.08271858215333339
1.0,0.30594242522000004,1.0,0.30594242522000004
2.0,-0.5321321111866668,0.552479936216,-0.5321321111866668
3.0,0.2793865868733333,1.0,0.2793865868733333
4.0,-0.00809008138666667,0.282091452632,-0.00809008138666667
5.0,-0.7880644550733333,0.8887510336860001,-0.7880644550733333
6.0,0.19988110920666669,0.98570096776216,0.19988110920666669
7.0,0.25331319042,1.0,0.25331319042
8.0,-0.5225533257199999,0.549957048172,-0.5225533257199999
9.0,-0.8061764556466666,0.8800749999999999,-0.8061764556466666
10.0,-0.11253257019999996,0.9901,-0.11253257019999996
11.0,0.6008619419853334,1.0,0.6008619419853334
12.0,-1.0,-0.991521534084,-1.0
13.0,-0.7232281731866665,0.2966500000000001,-0.7232281731866665
14.0,0.5361549115119999,0.9991,0.5361549115119999
15.0,0.37154112860800004,1.0,0.37154112860800004
16.0,0.9580144583540666,1.0,0.9580144583540666
17.0,-1.0,-1.0,-0.014305324526666663
18.0,-0.6420500366599999,0.68455,-0.6420500366599999
19.0,-0.3812153126733333,0.83755,-0.3812153126733333
20.0,0.77015464954,1.0,0.77015464954
21.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0
23.0,0.6575415667373334,1.0,0.6575415667373334
24.0,0.47575107202133327,0.98509008014512,0.47575107202133327
25.0,-1.0,-1.0,-0.6007617543866666
26.0,-1.0,-1.0,-0.6486452791933335
27.0,-0.9660267850266668,0.03969999999999996,-0.9660267850266668
28.0,0.7287393460173333,0.998875,0.7287393460173333
29.0,0.6216200740846667,1.0,0.6216200740846667
30.0,0.362211225544,1.0,0.362211225544
31.0,0.5170673798886667,1.0,0.5170673798886667
32.0,1.0,1.0,1.0
33.0,0.797221572496,0.99443556385208,0.797221572496
34.0,-1.0,-1.0,-0.2109939625066668
35.0,-1.0,-1.0,-0.2828029295600001
36.0,-1.0,-1.0,-0.3159683710333334
37.0,0.5220092216193333,0.730675,0.5220092216193333
